active_party_count,threshold,expected_qualified,decryption_succeeded,recovered_value,elapsed_seconds,error
1,3,False,False,,2.7043000045523513e-05,"ValueError: Need at least 3 active parties, got 1"
2,3,False,False,,2.7921999958380184e-05,"ValueError: Need at least 3 active parties, got 2"
3,3,True,True,17.0,0.012479137000013907,
4,3,True,True,17.0,0.012767045999908078,
5,3,True,True,17.0,0.015553183000065474,
