protocol,repeat,round,loss,accuracy,precision,recall,f1,roc_auc,local_training_seconds,encryption_seconds,aggregation_seconds,threshold_decryption_seconds,query_evaluation_seconds,round_seconds,rss_start_bytes,rss_end_bytes,peak_rss_bytes,peak_rss_delta_bytes,peak_python_bytes,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes
baseline,1,1,0.48705750128097125,0.7392280071813285,0.6032050165476398,0.8466992665036674,0.7045061540026447,0.8276591236192754,5.125637950000055,0.0,0.00041558600003099855,0.0,0.0,7.561035518999915,382373888,408862720,408862720,26488832,10528168,1120,1120,0,2240
baseline,1,2,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,6.580074752000087,0.0,0.0010801800000308504,0.0,0.0,6.608211990999962,408862720,408875008,408875008,12288,231531,1120,1120,0,2240
baseline,1,3,0.48370422692016385,0.7414721723518851,0.6098801307664367,0.8210268948655257,0.6998749478949562,0.8271761951828538,7.2511662770000385,0.0,0.00039387600008922163,0.0,0.0,7.305852581999943,408875008,408875008,408875008,0,345421,1120,1120,0,2240
baseline,1,4,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410758,0.7038889455955905,0.8285627460160572,5.6385720900002525,0.0,0.0002738470000167581,0.0,0.0,5.73332321700002,408875008,408883200,408883200,8192,207007,1120,1120,0,2240
baseline,1,5,0.48409557993150915,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,4.082085376999885,0.0,0.0004312250000566564,0.0,0.0,4.112237009000069,408883200,408883200,408883200,0,348099,1120,1120,0,2240
