protocol,repeat,round,loss,accuracy,precision,recall,f1,roc_auc,local_training_seconds,encryption_seconds,aggregation_seconds,threshold_decryption_seconds,query_evaluation_seconds,round_seconds,rss_start_bytes,rss_end_bytes,peak_rss_bytes,peak_rss_delta_bytes,peak_python_bytes,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes
baseline,0,1,0.48705750128097125,0.7392280071813285,0.6032050165476398,0.8466992665036674,0.7045061540026447,0.8276591236192754,2.933928106999929,0.0,0.00026806599998963065,0.0,0.0,4.468656893000002,382038016,408604672,408604672,26566656,11092022,1120,1120,0,2240
baseline,0,2,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,4.104353900000092,0.0,0.0006746309999243749,0.0,0.0,4.123361357000022,408604672,408608768,408608768,4096,234645,1120,1120,0,2240
baseline,0,3,0.48370422692016385,0.7414721723518851,0.6098801307664367,0.8210268948655257,0.6998749478949562,0.8271761951828538,8.7719169679998,0.0,0.0003555650000635069,0.0,0.0,8.839976724000053,408608768,408608768,408608768,0,352796,1120,1120,0,2240
baseline,0,4,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410758,0.7038889455955905,0.8285627460160572,5.5567948030000025,0.0,0.0001976070000182517,0.0,0.0,5.588604740000051,408608768,408633344,408633344,24576,208711,1120,1120,0,2240
baseline,0,5,0.48409557993150915,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,4.665058195000142,0.0,0.0003749080000261529,0.0,0.0,4.683665240000096,408633344,408633344,408633344,0,348532,1120,1120,0,2240
