active_party_count,threshold,expected_qualified,decryption_succeeded,recovered_value,elapsed_seconds,error
1,3,False,False,,2.741299999797775e-05,"ValueError: Need at least 3 active parties, got 1"
2,3,False,False,,7.749000133117079e-06,"ValueError: Need at least 3 active parties, got 2"
3,3,True,True,17.0,0.015434493999919141,
4,3,True,True,17.0,0.011920570000029329,
5,3,True,True,17.0,0.015364653999995426,
