protocol,repeat,round,loss,accuracy,precision,recall,f1,roc_auc,local_training_seconds,encryption_seconds,aggregation_seconds,threshold_decryption_seconds,query_evaluation_seconds,round_seconds,rss_start_bytes,rss_end_bytes,peak_rss_bytes,peak_rss_delta_bytes,peak_python_bytes,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes
baseline,2,1,0.48705750128097125,0.7392280071813285,0.6032050165476398,0.8466992665036674,0.7045061540026447,0.8276591236192754,4.026757099000065,0.0,0.00035032799996770336,0.0,0.0,5.787772669999981,381423616,407703552,407703552,26279936,10494209,1120,1120,0,2240
baseline,2,2,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,4.384349274999977,0.0,0.0004442419999577396,0.0,0.0,4.403228861000002,407703552,407715840,407715840,12288,220852,1120,1120,0,2240
baseline,2,3,0.48370422692016385,0.7414721723518851,0.6098801307664367,0.8210268948655257,0.6998749478949562,0.8271761951828538,4.623347633000094,0.0,0.00053557700005058,0.0,0.0,4.643954282999971,407715840,407715840,407715840,0,344430,1120,1120,0,2240
baseline,2,4,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410758,0.7038889455955905,0.8285627460160572,4.5308665600000495,0.0,0.0004593979999754083,0.0,0.0,4.5516923199999155,407715840,407719936,407719936,4096,211806,1120,1120,0,2240
baseline,2,5,0.48409557993150915,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,4.7883490740000525,0.0,0.0011364780000349128,0.0,0.0,4.809116774000017,407719936,407740416,407740416,20480,351516,1120,1120,0,2240
