protocol,attack,repeat,round,loss,accuracy,precision,recall,f1,roc_auc,backdoor_asr,local_training_seconds,crypto_seconds,aggregation_seconds,threshold_decryption_seconds,query_seconds,round_seconds,rss_start_bytes,peak_rss_bytes,peak_rss_delta_bytes,peak_python_bytes,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes,query_absolute_error,aggregate_exact_noise,query_exact_noise,aggregate_representative,query_representative,minimum_p_public,p_public_margin,minimum_q_symbolic,q_symbolic_margin,minimum_q_observed,q_observed_margin
baseline,backdoor,0,5,0.4865574848716092,0.7381508078994614,0.6040078028019152,0.832762836185819,0.7001747353273717,0.8263746380204269,0.6257630161579892,2.8344706579955528,0.0,0.00028394900436978787,0.0,0.0,2.8542044709902257,438824960,438824960,0,271846,1120,1120,0,2240,,,,,,,,,,,
hybrid_pet,sign_flip,0,5,0.49921795555676335,0.7327648114901256,0.6069575245050932,0.7721271393643032,0.679651350478855,0.8164209714057813,,2.6811425410414813,0.08289927200530656,0.001537685006042011,0.05544113600626588,0.4475327070103958,3.2964780230104225,438517760,438517760,0,173527,10240,1120,6144,17504,3.469446951953614e-18,182.0,7626760567.0,11957404.0,499835007283447.0,60001.0,5536.0,115893726176835246221,179254179002517590132,999670014566895.0,295146905509338269458
baseline,label_flip,0,5,0.4860703158421405,0.7394973070017953,0.603955197759888,0.8437652811735942,0.7039983680130559,0.8273823891518841,,2.4568886369961547,0.0,0.0001812670088838786,0.0,0.0,2.4743645010021282,438595584,438595584,0,136720,1120,1120,0,2240,,,,,,,,,,,
baseline,sign_flip,0,5,0.4991771410354806,0.7326750448833034,0.6063911213164944,0.7748166259168704,0.680334907685702,0.8164331616639788,,2.396326139991288,0.0,0.00017802001093514264,0.0,0.0,2.413487340003485,438513664,438513664,0,136727,1120,1120,0,2240,,,,,,,,,,,
hybrid_pet,clean,0,5,0.48411706277241184,0.7414721723518851,0.6079200856225473,0.8332518337408313,0.7029702970297029,0.8277624373580261,,2.7065344039874617,0.07906703601474874,0.0014813480083830655,0.02909423300297931,0.4302096920000622,3.2729437190137105,438009856,438009856,0,165570,10240,1120,6144,17504,1.734723475976807e-18,124.0,26364951424.0,8144458.0,1727879821476352.0,60001.0,5536.0,104300139859090894221,190847765320261942132,3455759642952705.0,295144449419709883648
baseline,clean,0,5,0.48409557993150915,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,,2.478813749999972,0.0,0.00031185000261757523,0.0,0.0,2.4992288100038422,437997568,437997568,0,147407,1120,1120,0,2240,,,,,,,,,,,
hybrid_pet,label_flip,0,5,0.48613397266107145,0.7394973070017953,0.6039188243526942,0.8440097799511003,0.704058739547216,0.8273467894362656,,2.8288793319952674,0.08561580600508023,0.001741829008096829,0.02955089500756003,0.43027964800421614,3.3983346829918446,438599680,438681600,81920,297060,10240,1120,6144,17504,0.0,94.0,10265204278.0,6162184.0,672750692734533.0,60001.0,5536.0,104354329312690189581,190793575866662646772,1345501385469067.0,295146559677967367286
hybrid_pet,backdoor,0,5,0.4866462659578991,0.7379712746858169,0.6037568669147616,0.8330073349633251,0.7000924689201685,0.8263279231476183,0.6257630161579892,2.5341550440061837,0.08362295699771494,0.0015940839948598295,0.032020537997595966,0.44535308799822815,3.117611226000008,438910976,438939648,28672,164874,10240,1120,6144,17504,0.0,128.0,14062787558.0,8417893.0,921632908190310.0,60001.0,5536.0,98539294587037686029,196608610592315150324,1843265816380621.0,295146061913536455732
