protocol,repeat,epsilon,adversarial_accuracy
baseline,0,0.0,0.7412926391382406
baseline,0,0.01,0.7282764811490126
baseline,0,0.05,0.6674147217235189
baseline,0,0.1,0.5980251346499103
baseline,0,0.2,0.4858168761220826
hybrid_pet,0,0.0,0.7414721723518851
hybrid_pet,0,0.01,0.7280071813285458
hybrid_pet,0,0.05,0.6673249551166965
hybrid_pet,0,0.1,0.598294434470377
hybrid_pet,0,0.2,0.4856373429084381
