active_party_count,threshold,expected_qualified,decryption_succeeded,recovered_value,elapsed_seconds,error
1,3,False,False,,2.5449000531807542e-05,"ValueError: Need at least 3 active parties, got 1"
2,3,False,False,,6.290007149800658e-06,"ValueError: Need at least 3 active parties, got 2"
3,3,True,True,17.0,0.011372823006240651,
4,3,True,True,17.0,0.008568420002120547,
5,3,True,True,17.0,0.00897444000293035,
