protocol,repeat,protocol_wall_seconds,protocol_rss_start_bytes,protocol_rss_end_bytes,protocol_peak_rss_bytes,protocol_peak_rss_delta_bytes,protocol_peak_python_bytes,setup_seconds,setup_rss_start_bytes,setup_rss_end_bytes,setup_peak_rss_bytes,setup_peak_rss_delta_bytes,setup_peak_python_bytes,setup_storage_bytes_estimate
baseline,0,28.585878150999974,382038016,408854528,408854528,26816512,0,,,,,,,
baseline,1,32.347650465000015,382373888,409079808,409079808,26705920,0,,,,,,,
baseline,2,25.266941805999977,381423616,407932928,407932928,26509312,0,,,,,,,
hybrid_pet,0,41.40699647099996,381980672,409554944,409554944,27574272,0,21.328670795999983,381579264.0,381980672.0,381980672.0,401408.0,580448.0,49536.0
hybrid_pet,1,29.80918386099995,382775296,410193920,410193920,27418624,0,16.563989189999916,382402560.0,382775296.0,382775296.0,372736.0,580788.0,49536.0
hybrid_pet,2,30.099985183999934,382537728,409849856,409849856,27312128,0,20.15102927199996,382164992.0,382537728.0,382537728.0,372736.0,573442.0,49536.0
