protocol,repeat_mean,round_mean,loss_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,local_training_seconds_mean,encryption_seconds_mean,aggregation_seconds_mean,threshold_decryption_seconds_mean,query_evaluation_seconds_mean,round_seconds_mean,rss_start_bytes_mean,rss_end_bytes_mean,peak_rss_bytes_mean,peak_rss_delta_bytes_mean,peak_python_bytes_mean,uplink_bytes_mean,downlink_bytes_mean,threshold_bytes_mean,round_communication_bytes_mean,authorized_scalar_mean,authorized_reference_mean,authorized_absolute_error_mean,aggregate_exact_noise_mean,query_exact_noise_mean,repeat_std,round_std,loss_std,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,local_training_seconds_std,encryption_seconds_std,aggregation_seconds_std,threshold_decryption_seconds_std,query_evaluation_seconds_std,round_seconds_std,rss_start_bytes_std,rss_end_bytes_std,peak_rss_bytes_std,peak_rss_delta_bytes_std,peak_python_bytes_std,uplink_bytes_std,downlink_bytes_std,threshold_bytes_std,round_communication_bytes_std,authorized_scalar_std,authorized_reference_std,authorized_absolute_error_std,aggregate_exact_noise_std,query_exact_noise_std
baseline,1.0,5.0,0.48409557993150915,0.7412926391382406,0.6078956770275098,0.8320293398533009,0.7025185796862098,0.8277469871161283,3.0415793510037474,0.0,0.00044996867169776666,0.0,0.0,3.0604461773279277,413117098.6666667,413122560.0,413122560.0,5461.333333333333,341718.0,1120.0,1120.0,0.0,2240.0,,,,,,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07838127659024839,0.0,0.00013070848851066573,0.0,0.0,0.07760967963722137,95553.82658073613,100498.17924718835,100498.17924718835,7723.491668640263,6717.32034867079,0.0,0.0,0.0,0.0,,,,,
hybrid_pet,1.0,5.0,0.4841170627724118,0.7414721723518851,0.6079200856225473,0.8332518337408313,0.702970297029703,0.8277624373580261,3.0353609646699624,0.08295337732609666,0.0017982516728806668,0.032222052002907696,0.49302281832691125,3.6667601730005117,413715114.6666667,413715114.6666667,413715114.6666667,0.0,362813.6666666667,10240.0,1120.0,6144.0,17504.0,0.01015625,0.01015625,1.734723475976807e-18,116.33333333333333,30373645021.666668,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463523792103827,0.0007877752562883797,0.00028853836580866577,0.0013662071057300791,0.021197599691437176,0.046352126399679394,260460.37119600203,260460.37119600203,260460.37119600203,0.0,2435.075130029638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.143416036468627,17546092100.36072
