protocol,repeat,round,local_training_seconds,encryption_seconds,aggregation_seconds,threshold_decryption_seconds,query_evaluation_seconds,round_seconds
baseline,0,1,2.933928106999929,0.0,0.0002680659999896,0.0,0.0,4.468656893000002
baseline,0,2,4.104353900000092,0.0,0.0006746309999243,0.0,0.0,4.123361357000022
baseline,0,3,8.7719169679998,0.0,0.0003555650000635,0.0,0.0,8.839976724000053
baseline,0,4,5.5567948030000025,0.0,0.0001976070000182,0.0,0.0,5.588604740000051
baseline,0,5,4.665058195000142,0.0,0.0003749080000261,0.0,0.0,4.683665240000096
baseline,1,1,5.125637950000055,0.0,0.0004155860000309,0.0,0.0,7.561035518999915
baseline,1,2,6.580074752000087,0.0,0.0010801800000308,0.0,0.0,6.608211990999962
baseline,1,3,7.2511662770000385,0.0,0.0003938760000892,0.0,0.0,7.305852581999943
baseline,1,4,5.6385720900002525,0.0,0.0002738470000167,0.0,0.0,5.73332321700002
baseline,1,5,4.082085376999885,0.0,0.0004312250000566,0.0,0.0,4.112237009000069
baseline,2,1,4.026757099000065,0.0,0.0003503279999677,0.0,0.0,5.787772669999981
baseline,2,2,4.384349274999977,0.0,0.0004442419999577,0.0,0.0,4.403228861000002
baseline,2,3,4.623347633000094,0.0,0.0005355770000505,0.0,0.0,4.643954282999971
baseline,2,4,4.5308665600000495,0.0,0.0004593979999754,0.0,0.0,4.551692319999916
baseline,2,5,4.7883490740000525,0.0,0.0011364780000349,0.0,0.0,4.809116774000017
hybrid_pet,0,1,5.8196718230000215,0.1948761279999189,0.0032299890000331,0.0580442130000165,1.0966147220000266,9.31080018299997
hybrid_pet,0,2,5.497400654999865,0.1436795210001946,0.0042536189999964,0.1611696779999647,1.4788406860000125,7.315089103999981
hybrid_pet,0,3,6.217472304999888,0.1784054749999768,0.003702745000055,0.0469271189999744,0.6132585969999127,7.087357921000034
hybrid_pet,0,4,6.689389811000069,0.2040419469998369,0.0023283600000922,0.0589625359999672,1.393988003000004,8.38582894000001
hybrid_pet,0,5,6.253785937999851,0.1723782300000493,0.0084038910000572,0.0515777909999997,1.4668821170000683,7.983334712999976
hybrid_pet,1,1,4.102388715999837,0.1186913329999015,0.0020352889999912,0.0418656780000219,0.6536019899999701,6.369446853999989
hybrid_pet,1,2,4.466231060999803,0.1154939629999489,0.0053332090000139,0.0507969980000098,0.6376862419999725,5.301160576000029
hybrid_pet,1,3,4.488083368000048,0.1171195009999337,0.002661640000042,0.0476127320000614,0.7567723399999977,5.432868598000027
hybrid_pet,1,4,5.253168275000007,0.1083838639998475,0.0020027390000905,0.0457143169999199,0.6485063809999474,6.084674684999982
hybrid_pet,1,5,4.822627570000122,0.1109425099998588,0.0025900980000415,0.0564192279999815,0.6920379770000409,5.708701187999964
hybrid_pet,2,1,4.074232515000176,0.0956851919997916,0.0029136319999452,0.0457456449998971,0.6745217740001408,6.594794614999955
hybrid_pet,2,2,4.719280213000047,0.1346489029999702,0.0025153779999982,0.0569054109998887,0.6632624320000104,5.600956621000023
hybrid_pet,2,3,4.907376131000319,0.1075709420001658,0.0027391029998398,0.0529662960000223,0.679332101,5.776835659000199
hybrid_pet,2,4,4.618216740999969,0.1070519269999294,0.0018740990001333,0.0495938560000013,0.6830643299999792,5.483100732999901
hybrid_pet,2,5,4.782764039999847,0.1164221399999405,0.001873008000075,0.0479832429998623,0.7126363249999486,5.683606432000033
