protocol,round,repeat_mean,loss_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,local_training_seconds_mean,encryption_seconds_mean,aggregation_seconds_mean,threshold_decryption_seconds_mean,query_evaluation_seconds_mean,round_seconds_mean,rss_start_bytes_mean,rss_end_bytes_mean,peak_rss_bytes_mean,peak_rss_delta_bytes_mean,peak_python_bytes_mean,uplink_bytes_mean,downlink_bytes_mean,threshold_bytes_mean,round_communication_bytes_mean,authorized_scalar_mean,authorized_reference_mean,authorized_absolute_error_mean,aggregate_exact_noise_mean,query_exact_noise_mean,repeat_std,loss_std,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,local_training_seconds_std,encryption_seconds_std,aggregation_seconds_std,threshold_decryption_seconds_std,query_evaluation_seconds_std,round_seconds_std,rss_start_bytes_std,rss_end_bytes_std,peak_rss_bytes_std,peak_rss_delta_bytes_std,peak_python_bytes_std,uplink_bytes_std,downlink_bytes_std,threshold_bytes_std,round_communication_bytes_std,authorized_scalar_std,authorized_reference_std,authorized_absolute_error_std,aggregate_exact_noise_std,query_exact_noise_std
baseline,1,1.0,0.4870575012809712,0.7392280071813285,0.6032050165476398,0.8466992665036676,0.7045061540026447,0.8276591236192754,4.0287743853333495,0.0,0.0003446599999960667,0.0,0.0,5.9391550273333,381945173.3333333,408390314.6666667,408390314.6666667,26445141.333333332,10704799.666666666,1120.0,1120.0,0.0,2240.0,,,,,,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.8947629336157603,0.0,6.035800013698882e-05,0.0,0.0,1.2669882544099407,393462.44129211415,496910.0608234476,496910.0608234476,121061.26648749158,274158.29368491145,0.0,0.0,0.0,0.0,,,,,
baseline,2,1.0,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,5.022925975666719,0.0,0.0007330176666376,0.0,0.0,5.044934069666662,408390314.6666667,408399872.0,408399872.0,9557.333333333334,229009.33333333334,1120.0,1120.0,0.0,2240.0,,,,,,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,1.106987981335754,0.0,0.0002628827839191973,0.0,0.0,1.1112934954202145,496910.0608234476,495745.74610244174,495745.74610244174,3861.7458343201315,5906.539558451767,0.0,0.0,0.0,0.0,,,,,
baseline,3,1.0,0.48370422692016374,0.7414721723518851,0.6098801307664367,0.8210268948655258,0.6998749478949562,0.8271761951828539,6.882143625999977,0.0,0.0004283393334010667,0.0,0.0,6.929927862999989,408399872.0,408399872.0,408399872.0,0.0,347549.0,1120.0,1120.0,0.0,2240.0,,,,,,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,1.7136297090364088,0.0,7.742467755633445e-05,0.0,0.0,1.7335206233001608,495745.74610244174,495745.74610244174,495745.74610244174,0.0,3732.182292796892,0.0,0.0,0.0,0.0,,,,,
baseline,4,1.0,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410759,0.7038889455955905,0.8285627460160572,5.242077817666768,0.0,0.0003102840000034333,0.0,0.0,5.291206758999995,408399872.0,408412160.0,408412160.0,12288.0,209174.66666666666,1120.0,1120.0,0.0,2240.0,,,,,,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.5040092399557684,0.0,0.00010993747659669284,0.0,0.0,0.5262426965532787,495745.74610244174,499991.7031418288,499991.7031418288,8848.3713002262,1986.4273345772224,0.0,0.0,0.0,0.0,,,,,
baseline,5,1.0,0.48409557993150915,0.7412926391382406,0.6078956770275098,0.8320293398533009,0.7025185796862098,0.8277469871161283,4.511830882000027,0.0,0.0006475370000392,0.0,0.0,4.53500634100006,408412160.0,408418986.6666667,408418986.6666667,6826.666666666667,349382.3333333333,1120.0,1120.0,0.0,2240.0,,,,,,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.30801629774197853,0.0,0.0003464971161310535,0.0,0.0,0.3032984810441391,499991.7031418288,490544.3353590944,490544.3353590944,9654.364585800327,1519.050653825905,0.0,0.0,0.0,0.0,,,,,
hybrid_pet,1,1.0,0.4870484096999656,0.739048473967684,0.6030667363652205,0.8462102689486551,0.704242547563333,0.8276235585843348,4.665431018000011,0.13641755099987066,0.002726303333323167,0.04855184533331183,0.8082461620000458,7.425013883999971,382431232.0,409580885.3333333,409580885.3333333,27149653.333333332,10876831.666666666,10240.0,1120.0,6144.0,17504.0,0.225,0.225,0.0,135.33333333333334,13009629257.333334,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.8162524404696488,0.042390050323019283,0.0005054015199349394,0.006896487942905203,0.20408614053547805,1.3366220800882118,333029.40196124825,278454.3693526037,278454.3693526037,56985.29076485906,270726.0737724058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.737161790783286,7106281515.843722
hybrid_pet,2,1.0,0.4853907614250799,0.7408438061041293,0.6054708048395582,0.8442542787286064,0.7051975901153885,0.8281735767916906,4.894303976333238,0.1312741290000379,0.0040340686666695,0.0896240289999544,0.9265964533333317,6.072402100333345,409580885.3333333,409606826.6666667,409606826.6666667,25941.333333333332,256857.66666666666,10240.0,1120.0,6144.0,17504.0,-0.05859375,-0.05859375,0.0,141.0,29257092835.666668,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.4387882338106829,0.011751545844675587,0.0011608027819316347,0.05065183837051247,0.39063521326077577,0.8871950777444163,278454.3693526037,247626.4532413459,247626.4532413459,33831.6265973456,6730.1134380401745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449489742783178,2681037814.745108
hybrid_pet,3,1.0,0.4836786978976731,0.7420107719928186,0.6105856675154602,0.8207823960880195,0.700250312891114,0.827179038998422,5.204310601333418,0.13436530600002544,0.0030344959999789333,0.049168715666686034,0.6831210126666368,6.099020726000087,409606826.6666667,409606826.6666667,409606826.6666667,0.0,383144.3333333333,10240.0,1120.0,6144.0,17504.0,0.01953125,0.01953125,0.0,110.33333333333333,17431348363.666668,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.7365795198566402,0.031384137276669145,0.0004735804568472084,0.0026998430309407317,0.05865046459711861,0.7128282369213252,247626.4532413459,247626.4532413459,247626.4532413459,0.0,2440.310681495746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.522013940527977,9397483285.380886
hybrid_pet,4,1.0,0.4845680277908298,0.7397666068222621,0.604308985811876,0.8435207823960879,0.7041534850494949,0.8285450935511279,5.520258275666682,0.13982591266653793,0.0020683993334386667,0.05142356966662947,0.9085195713333102,6.651201452666631,409606826.6666667,409714688.0,409714688.0,107861.33333333333,229739.66666666666,10240.0,1120.0,6144.0,17504.0,-0.010937499999999998,-0.010937499999999998,0.0,133.66666666666666,20483780769.333332,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.8663880088488077,0.045410849020650804,0.00019117483019906012,0.005561157897697684,0.3435678114224922,1.2509122523957288,247626.4532413459,167084.67142140836,167084.67142140836,114411.34886986615,953.525505106645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.741092797468308,7929756544.6804905
hybrid_pet,5,1.0,0.4841170627724118,0.7414721723518851,0.6079200856225473,0.8332518337408313,0.702970297029703,0.8277624373580261,5.28639251599994,0.1332476266666162,0.0042889990000579,0.0519934206666145,0.9571854730000192,6.458547444333324,409714688.0,409714688.0,409714688.0,0.0,378586.3333333333,10240.0,1120.0,6144.0,17504.0,0.01015625,0.01015625,1.734723475976807e-18,116.33333333333333,30376515457.333332,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.684244011033366,0.02775979916069654,0.0029243582368053186,0.0034564935744563264,0.36050804398216124,1.078236089704107,167084.67142140836,167084.67142140836,167084.67142140836,0.0,7343.88472736936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.143416036468627,17553333876.50398
